measurement_id,claim_id,metric,numerator,denominator,unit,population,baseline,geography,time_horizon,comparison,attribution_assumptions,calculation,model_version,sensitivity,overlap_group_id,notes,source_ids,value_basis,value_review_status,amount_role,currency_price_basis,uncertainty,reviewer,review_date,option_holder,exercise_trigger,expiry,exercise_cost,maintenance_cost,delay_cost,constrained_alternative,probability_basis,codebook_version,review_batch
MEAS-R3-001,C-R3-001,Direct GVA,453000000,,GBP,NE Scotland creative economy,,North East Scotland,2024,,GVA modelled from workforce data,Four-tier workforce modelling + GVA attribution,v1,Modelled estimate with known limitations in creative sector classification,,GVA baseline,SRC-R2-02,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,2026-09-09,,,,,,,Modelled estimate not direct measurement,,1.3-candidate,R3-BATCH-A
MEAS-R3-002,C-R3-001,Total economic impact,675000000,,GBP,NE Scotland creative economy,,North East Scotland,2024,,Total impact including indirect and induced effects,Four-tier workforce modelling + multiplier approach,v1,Multiplier assumptions apply,,Total impact baseline,SRC-R2-02,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,2026-09-09,,,,,,,Multiplier-based estimate,,1.3-candidate,R3-BATCH-A
MEAS-R3-003,C-R3-002,Workforce count,10490,,workers,NE Scotland creative economy,,North East Scotland,2024-05,,LinkedIn workforce profiling as occupational survey,LinkedIn profiling + BRES reconciliation,v1,LinkedIn coverage and classification limitations,,Workforce baseline,SRC-R2-02,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,2026-09-09,,,,,,,LinkedIn estimate may overcount or undercount,,1.3-candidate,R3-BATCH-A
MEAS-R3-004,C-R3-002,Full-time equivalent workforce,7715,,FTE,NE Scotland creative economy,,North East Scotland,2024-05,,FTE conversion from workforce count,Workforce count + FTE conversion,v1,Conversion assumptions apply,,FTE baseline,SRC-R2-02,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,FTE,,Devin,2026-09-09,,,,,,,FTE conversion from total workforce,,1.3-candidate,R3-BATCH-A
MEAS-R3-005,C-R3-003,Potential convergence impact,1100000000,,GBP,NE Scotland creative economy with convergence,,North East Scotland,FORECAST,,Convergence scenario impact estimate,Scenario projection from convergence analysis,v1,Highly speculative; requires market validation,,Convergence scenario,SRC-R2-01,SCENARIO_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,High uncertainty,Devin,2026-09-09,COMMISSIONER,Market validation and institutional brokerage,No expiry specified,,,,No demand validation conducted,No probability basis,1.3-candidate,R3-BATCH-A
MEAS-R3-006,C-R3-009,Immersive job postings 2020-2024,3847,,job postings,GM immersive sector,,Greater Manchester,2020-2024,,Lightcast job posting data,Lightcast job posting analysis,v1,Lightcast classification limitations,,Immersive job postings total,SRC-R2-04,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,2026-09-09,,,,,,,Lightcast data classification may vary,,1.3-candidate,R3-BATCH-A
MEAS-R3-007,C-R3-009,Immersive job postings growth,891,,job postings in 2024,GM immersive sector,612 in 2020,Greater Manchester,2024,,46% increase from 2020 to 2024,Lightcast year-over-year comparison,v1,Single-year comparison,,Immersive job posting growth,SRC-R2-04,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,2026-09-09,,,,,,,Growth rate from 2020 baseline,,1.3-candidate,R3-BATCH-A
MEAS-R3-008,C-R3-015,GBSLEP creative economy GVA,,,GBP,GBSLEP creative economy,,Greater Birmingham & Solihull,2017,,GVA modelled from workforce and company data,BRES/IDBR + GVA attribution,v1,Modelled estimate with creative sector classification limitations,,GVA baseline,SRC-R2-05,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,2026-09-09,,,,,,,Modelled estimate not direct measurement,,1.3-candidate,R3-BATCH-B
MEAS-R3-009,C-R3-015,GBSLEP creative economy employment,,,workers,GBSLEP creative economy,,Greater Birmingham & Solihull,2017,,Employment from BRES/IDBR data,BRES/IDBR employment data,v1,BRES/IDBR classification limitations,,Employment baseline,SRC-R2-05,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,2026-09-09,,,,,,,Official data classification limitations,,1.3-candidate,R3-BATCH-B
MEAS-R3-010,C-R3-032,Kirklees creative industries GVA,250900000,,GBP,Kirklees creative economy,,Kirklees,2024,,GVA modelled from workforce and company data,GVA attribution from SIC/Companies House/BRES/Beauhurst data,v1,Modelled estimate with creative sector classification limitations,,GVA baseline,SRC-R2-11,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,2026-09-09,,,,,,,Modelled estimate not direct measurement,,1.3-candidate,R3-BATCH-D
