claim_id,project_id,precise_proposition,effect_family,mechanism,option_subtype,originator,recipient,intended_beneficiary_status,event_period,claim_direction,outcome_status,attribution_strength,value_status,boundary_recipient,boundary_org,boundary_sector,boundary_geography,boundary_chain,compensation,intent,timing,direction,beneficiaries,cost_bearers,access_barriers,evidence_sufficiency,source_quality,independence,coverage,time_lag,contrary_evidence,reviewer_confidence,commercial_reuse,fifth_sector_role,review_status,publication_status,notes,claim_type,method_ids,generating_intervention,fifth_sector_contribution,contracting_role,tie_change,option_state,option_holder,exercise_access,prediction,rival_explanations,disconfirming_evidence,observation_window,source_review_state,value_basis,value_review_status,permission_status,rights_status,consent_status,causal_assumptions,codebook_version,review_batch
C-R3-001,P01-NES,NE Scotland creative economy generates £453M direct GVA and £675M total economic impact (May 8 report figures),CONTEXTUAL,,,The Fifth Sector,Regional Economic Partnership,INTENDED,2026-05,BENEFICIAL,REPORTED,DESCRIPTIVE,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,Regional Economic Partnership,,,Sufficient from mapping methodology,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER,REVIEWED,INTERNAL_ONLY,GVA figure is a modelled estimate of existing sector scale not an intervention effect; May 8 report is canonical between the two R2 extracts; v3.12 is the confirmed canonical; QA FIX 2026-09-11: Reclassified METHOD_OUTPUT→CONTEXT; NE Scotland GVA £453M — sector baseline; codebook: sector baseline not method output; /wishful+ /deepthink flag,CONTEXT,M-R3-001,Creative economy mapping commission,Mapping methodology applied to produce GVA estimate,UNKNOWN,,,,,,,2026-05,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Modelled estimate from workforce data not direct measurement,1.3-candidate,R3-BATCH-A,
C-R3-002,P01-NES,NE Scotland creative economy comprises 10490 workers and 7715 FTE (May 8 report figures),CONTEXTUAL,,,The Fifth Sector,Regional Economic Partnership,INTENDED,2026-05,BENEFICIAL,REPORTED,DESCRIPTIVE,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,Regional Economic Partnership,,,Sufficient from LinkedIn and BRES data,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER,REVIEWED,INTERNAL_ONLY,Workforce count from LinkedIn profiling and BRES data; baseline measurement not intervention effect; QA FIX 2026-09-11: Reclassified METHOD_OUTPUT→CONTEXT; NE Scotland 10490 workers — sector baseline; codebook: sector baseline not method output; /wishful+ /deepthink flag,CONTEXT,M-R3-001,Creative economy mapping commission,Workforce profiling applied,UNKNOWN,,,,,,,2026-05,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,LinkedIn workforce profiling as large-scale occupational survey,1.3-candidate,R3-BATCH-A,
C-R3-003,P01-NES,Convergence between simulation/visualisation firms and creative/marketing agencies could raise total economic impact to £1.1B,OPTION,EXPAND,,The Fifth Sector,Regional Economic Partnership,INTENDED,UNKNOWN,BENEFICIAL,HYPOTHESIS,NOT_ASSESSED,MONETARY,UNINTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,ACROSS_CHAIN,UNCOMPENSATED,EMERGENT,FORECAST,BENEFICIAL,Simulation firms; creative agencies,,,Hypothetical; requires market testing,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,LOW,INTERNAL_ONLY,DESIGNER,REVIEWED,INTERNAL_ONLY,Convergence opportunity is a forecast not a finding; May 8 report explicitly says it does not yet prove communities are selling into same markets; option held by commissioner,DESIGN,M-R3-002,Convergence analysis,Identified cross-sector gap and potential trading relationship,UNKNOWN,,PROPOSED,COMMISSIONER,UNKNOWN,Convergence would raise impact to £1.1B,Market saturation; no institutional broker,No demand validation conducted,UNKNOWN,REVIEWED,SCENARIO_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Hypothetical scenario requiring market validation,1.3-candidate,R3-BATCH-A
C-R3-004,P01-NES,Five strategic recommendations and five growth strategies proposed for NE Scotland creative economy,NOT_APPLICABLE,,,The Fifth Sector,Aberdeen City Council,INTENDED,UNKNOWN,BENEFICIAL,HYPOTHESIS,NOT_ASSESSED,NOT_APPLICABLE,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,FORECAST,BENEFICIAL,Aberdeen City Council,,,Recommendations proposed not implemented,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER,REVIEWED,INTERNAL_ONLY,Recommendations are design propositions; implementation and effects not established,DESIGN,M-R3-003,Options assessment and policy playbook,Designed strategic recommendations,UNKNOWN,,,,,,,UNKNOWN,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Recommendations require client adoption to create effects,1.3-candidate,R3-BATCH-A,
C-R3-005,P02-FGTG,GM SME innovation funding landscape mapped using company data and SIC code analysis,DIRECT,,,The Fifth Sector,GMCA,INTENDED,2024-04,BENEFICIAL,REPORTED,DESCRIPTIVE,NOT_APPLICABLE,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,GMCA,,,Sufficient from company data analysis,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DELIVERER;ADVISOR,REVIEWED,INTERNAL_ONLY,Phase 1 company data analysis delivered; mapping of innovation funding landscape,METHOD_OUTPUT,M-R3-004,Company data analysis,Data analysis delivered,UNKNOWN,,,,,,,2024-04,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Company data analysis from Beauhurst and SIC codes,1.3-candidate,R3-BATCH-A,
C-R3-006,P02-FGTG,Innovation funding support workshop delivered in December 2024 with participant engagement and outcomes recorded,DIRECT,,,The Fifth Sector,SMEs; universities; GMCA,INTENDED,2024-12,BENEFICIAL,REPORTED,DESCRIPTIVE,NOT_APPLICABLE,INTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,SMEs; universities; GMCA,,,Sufficient from workshop report,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DELIVERER,REVIEWED,INTERNAL_ONLY,Workshop was planned (R2-D02 PROPOSED) and then delivered; outcomes recorded in workshop report Jun 2025; confirms Iain D08 adjudication,METHOD_OUTPUT,M-R3-005,Workshop facilitation,Workshop designed and delivered,UNKNOWN,,,,,,,2024-12,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Workshop delivery confirmed by report,1.3-candidate,R3-BATCH-A,
C-R3-007,P02-FGTG,Workshop networking enabled participants to expand professional connections across the Manchester ecosystem,NETWORK,BROKERAGE,,The Fifth Sector,Workshop participants,INTENDED,2024-12,BENEFICIAL,REPORTED,DESCRIPTIVE,NON_MONETARY,UNINTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNCOMPENSATED,EMERGENT,REALISED,BENEFICIAL,Workshop participants,,,Reported in workshop feedback,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DELIVERER,REVIEWED,INTERNAL_ONLY,Networking impact reported by participants; emergent not designed; spillover from workshop delivery,EFFECT,M-R3-005,Workshop facilitation,Workshop created networking environment,UNKNOWN,,NEW,,,,,Participant feedback,2024-12,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Participant self-report; no independent corroboration,1.3-candidate,R3-BATCH-A
C-R3-008,P02-FGTG,Options for devolved R&D funding approach proposed for GMCA including 4-stage framework and 3-phase implementation,OPTION,STAGE_LEARN,,The Fifth Sector,GMCA,INTENDED,UNKNOWN,BENEFICIAL,HYPOTHESIS,NOT_ASSESSED,NOT_APPLICABLE,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,FORECAST,BENEFICIAL,GMCA,,,Proposed not implemented,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;ADVISOR,REVIEWED,INTERNAL_ONLY,Options document proposes devolved funding variations; builds on workshop feedback; option held by GMCA/Innovate UK not Fifth Sector,DESIGN,M-R3-006,Options analysis,Designed devolved approach options,UNKNOWN,,PROPOSED,COMMISSIONER,UNKNOWN,Devolved approach would improve success rates,Current Innovate UK process remains unchanged,No pilot data yet,UNKNOWN,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Proposed framework requires pilot data and negotiation,1.3-candidate,R3-BATCH-A
C-R3-009,P03-MITIH,GM immersive-related roles generated 3847 job postings 2020-2024 with 46% increase over period,CONTEXTUAL,,,The Fifth Sector,Salford City Council,INTENDED,2025-03,BENEFICIAL,REPORTED,DESCRIPTIVE,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,Salford City Council,,,Sufficient from job posting data,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER,REVIEWED,INTERNAL_ONLY,Job posting analysis from Lightcast data; baseline measurement of immersive sector demand; QA FIX 2026-09-11: Reclassified METHOD_OUTPUT→CONTEXT; 3847 job postings is sector baseline data from Burning Glass/labour market analysis; not a method output; /deepthink flag,CONTEXT,M-R3-007,Ecosystem mapping,Job posting analysis applied,UNKNOWN,,,,,,,2025-03,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Lightcast job posting data,1.3-candidate,R3-BATCH-A,
C-R3-010,P03-MITIH,Employer demand shifted from narrow technical specialisation toward collaborative adaptive capability 2020-2024,DIRECT,,,The Fifth Sector,Salford City Council,INTENDED,2025-03,BENEFICIAL,REPORTED,DESCRIPTIVE,MONETARY,INTENDED,WITHIN_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,Salford City Council,,,Sufficient from job posting trend analysis,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER,REVIEWED,INTERNAL_ONLY,Communication skills 51419 postings; agile 38% increase; JavaScript 74% decline; Azure 61% decline; trend analysis,METHOD_OUTPUT,M-R3-007,Ecosystem mapping,Skills trend analysis applied,UNKNOWN,,,,,,,2025-03,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Lightcast job posting trend data,1.3-candidate,R3-BATCH-A,
